UtilizationUnitID,AverageLoad,PeakLoad,MedianLoad,RatedPVpower,AnnualConsumption,AccumualtedEnergy,UtilizationHours,InjectionHours,PowerDrawn,PowerInjected,BatterySize
198966,0.04,1.68,0.26,6,696,222,4261,3130,2.16,3.07,Low
130070,0.25,8.9,1.05,9,6132,2142,5085,2708,5.12,9.91,Medium
144802,0.45,7.48,0.56,9,5512,8691,5807,2859,4.21,6.82,Medium
116477,4.06,25.36,4.56,20,38914,20743,7212,1257,24.49,14.19,High
205374,0.51,4.9,0.45,13,1617,3424,5407,2431,8.1,10.73,Medium
187617,0.14,0.67,0.24,6,654,378,4184,3092,1.57,4,Low
174653,0.13,1.83,0.06,5,643,673,4394,3048,2.46,5.43,Low
212740,0.29,6.98,0.34,11,7421,1404,6021,2327,5.43,9.53,Medium
190019,0.61,7.6,0.92,10,4513,7992,5534,2928,5.28,10.48,Medium
151420,0.39,3.74,0.44,9,2834,5608,6019,2058,4.87,9.44,Medium
120015,0.5,3.16,0.54,12,2245,3444,5880,2777,3.25,7.7,Medium
194108,11.82,34.84,7.55,18,34142,63153,7243,1260,37.89,13.46,High
198410,2.25,36.08,8.74,17,45873,26005,6599,1104,28.92,12.59,High
166231,0.35,6.95,0.6,9,2333,1091,5684,2027,7.72,10.72,Medium
143504,0.81,4.17,0.82,11,2796,4561,5775,2316,3.54,7.15,Medium
193632,0.77,4.92,0.74,14,3552,7647,5315,2218,4.53,6.81,Medium
211799,0.19,1.98,0.24,4,644,665,4112,3554,1.79,5.97,Low
197121,9.8,17.27,8.41,19,77542,45581,7132,1713,31.66,12.28,High
213592,9.61,36.52,2.89,16,99882,50364,7103,1734,39.55,11.56,High
147244,0.35,2.86,0.38,13,2090,4401,5563,2025,4.4,7.36,Medium
211400,0.19,1.42,0.23,5,723,804,4624,3527,1.87,3.67,Low
131803,0.11,0.69,0.05,7,716,436,4663,3833,2.04,5.88,Low
165228,8.21,14.17,7.65,16,26097,35066,7223,1759,21.53,11.43,High
191906,5.12,15.83,11.36,15,60890,68390,7201,1260,24.8,12.93,High
158592,0.14,1.85,0.17,4,691,789,4659,3746,1.9,4.64,Low
187584,0.31,5.79,1.08,11,3029,4559,5049,2415,4.83,8.04,Medium
114721,0.38,3.26,1.11,10,2359,5427,5169,2481,2.85,10.39,Medium
119161,4.71,28.93,6.69,15,8137,20231,6510,1474,14.05,13.84,High
205475,0.56,2.06,0.9,9,4195,9879,5256,2674,8.68,7.78,Medium
162450,0.05,1.84,0.12,7,649,450,4753,3182,2.4,3.98,Low
201968,0.19,1.89,0.09,8,649,219,4322,3098,2.13,4.87,Low
198035,0.33,8.14,0.86,12,3997,3281,5242,2299,2.57,9.34,Medium
144978,5.2,27.72,5.39,17,79237,34622,6875,1281,23.24,11.31,High
121900,0.1,1.48,0.04,8,624,398,4147,3814,1.93,3.09,Low
194990,0.1,1.39,0.19,7,628,709,4231,3782,1.75,3.9,Low
168962,10.66,18.31,8.52,25,58101,21194,7055,1329,35.72,12.07,High
199648,0.51,6.81,0.47,13,5305,8083,5767,2573,8.55,6.07,Medium
118782,4.23,29.11,8.97,23,72582,62500,7187,1073,36.86,11.17,High
116250,0.05,1.68,0.27,5,667,641,4402,3365,1.83,4.19,Low
187444,0.7,6.04,0.67,14,5703,9636,5302,2168,6.34,6.21,Medium
134907,0.88,7.39,0.99,9,1910,8331,5031,2713,4.76,9.95,Medium
197126,10.47,25.42,3.06,23,97295,35593,6509,1881,10.39,15.44,High
128889,0.11,0.85,0.03,4,727,836,4535,3699,1.62,3.79,Low
117853,0.62,2.31,1.07,14,1717,7566,6265,2082,2.96,6.27,Medium
132622,11.6,12.08,4.99,21,89807,60703,6740,1737,25.83,13.76,High
132263,11.77,18.3,11.04,21,27894,77703,6564,1033,22.1,14.66,High
154313,1.01,15.12,8.9,23,60860,44292,7400,1936,32.84,12.25,High
201432,10.45,25.41,8.49,24,40348,62233,7383,1482,27.78,13.37,High
198539,0.09,0.72,0.05,3,651,466,4245,3261,2.5,4.28,Low
191172,0.58,6.49,0.88,14,5679,1942,6144,2338,4.87,10.22,Medium
190286,0.13,0.9,0.14,8,735,480,4722,3449,2.25,3.58,Low
130959,0.4,4.1,1.09,9,5247,8880,5402,2017,5.9,6.53,Medium
118014,0.83,4.68,0.68,11,3219,1293,5411,2505,3.69,9.04,Medium
146007,0.07,1.9,0.23,8,713,994,4807,3195,2.27,4.71,Low
155576,8.41,25.38,7.77,20,27190,43359,7206,1908,23.86,13.54,High
208594,0.19,1.83,0.16,8,706,225,4538,3998,1.92,5.84,Low
156755,0.6,4.25,1.19,9,4203,8677,5191,2019,4.99,10.19,Medium
170649,0.05,0.96,0.05,7,698,125,4775,3285,1.91,3.83,Low
193186,0.08,1.56,0.15,5,643,853,4517,3855,2.25,5.67,Low
198050,0.1,1.67,0.26,3,646,705,4025,3404,2.03,4.15,Low
180966,0.06,1.5,0.28,4,647,464,4815,3367,1.93,5,Low
166685,0.59,8.78,1.13,14,1987,1338,6310,2006,5.62,8.68,Medium
141670,8.79,11.18,8.27,23,47955,10073,6531,1767,18.05,13.69,High
210968,0.14,1.89,0.09,5,672,645,4951,3993,1.84,3.62,Low
111376,0.14,1.47,0.14,4,683,910,4901,3863,2.02,5.39,Low
117072,7.15,21.86,2.22,22,26653,59079,6719,1483,38.7,15.57,High
137883,9.1,23.38,5.33,22,38759,39848,6804,1624,33.23,12.88,High
153381,4.72,23.15,6.22,15,68023,78070,7548,1746,31.85,13.45,High
125965,0.8,3.29,0.52,11,6388,4427,5087,2865,7.33,10.43,Medium
178968,0.82,8.91,0.91,10,5285,8071,5067,2498,5.7,7.27,Medium
171991,5.41,22.6,8.68,18,85818,10523,6781,1851,11.82,13.5,High
177911,0.34,3.18,0.48,10,2756,2377,5472,2182,4.53,6.93,Medium
115551,7,18.96,1.9,22,53344,70013,7209,1830,9.66,14.18,High
135219,0.7,5.83,0.67,11,4368,2429,5089,2569,8.64,7.73,Medium
192529,11.74,24.77,9.12,24,73816,15007,7402,1109,24.11,15.73,High
198409,0.18,1.08,0.17,8,657,162,4368,3084,2.13,3.06,Low
159935,0.83,7.83,0.98,9,3574,5446,5072,2171,3.38,10.47,Medium
214255,0.31,7.28,0.89,14,6533,3173,5814,2637,2.55,7.24,Medium
183379,0.29,5.47,0.82,13,5615,9687,5652,2552,6.86,9.21,Medium
152366,11.93,34.73,11.83,15,93003,70524,6590,1590,27.37,14.36,High
163233,0.06,1.9,0.3,5,703,571,4169,3513,2.34,3.53,Low
